	Description		
Name	Basic	Advanced	Expert
{Orijentacije}	"{Basic Pathfinding}

Basic Pathfinding reduces the movement penalty for rough terrain by 25%."	"{Advanced Pathfinding}

Advanced Pathfinding reduces the movement penalty for rough terrain by 50%."	"{Expert Pathfinding}

Expert Pathfinding reduces the movement penalty for rough terrain by 75%."
{Strelièarstva}	"{Basic Archery}

Basic Archery increases the damage done by range attacking creatures by 10%."	"{Advanced Archery}

Advanced Archery increases the damage done by range attacking creatures by 25%."	"{Expert Archery}

Expert Archery increases the damage done by range attacking creatures by 50%."
{Logistike}	"{Basic Logistics}

Basic Logistics increases your hero's movement points over land by 10%."	"{Advanced Logistics}

Advanced Logistics increases your hero's movement points over land by 20%."	"{Expert Logistics}

Expert Logistics increases your hero's movement points over land by 30%."
{Izviðanja}	"{Basic Scouting}

Basic Scouting allows your hero to see 1 square further into the shroud."	"{Advanced Scouting}

Advanced Scouting allows your hero to see 2 squares further into the shroud."	"{Expert Scouting}

Expert Scouting allows your hero to see 3 squares further into the shroud."
{Diplomatije}	"{Basic Diplomacy}

Basic Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 20%."	"{Advanced Diplomacy}

Advanced Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 40%."	"{Expert Diplomacy}

Expert Diplomacy allows you to negotiate with monsters who are weaker than your group, and reduces the cost of surrendering by 60%."
{Pomorstva}	"{Basic Navigation}

Basic Navigation increases your hero's movement points at sea by 50%."	"{Advanced Navigation}

Advanced Navigation doubles your hero's movement points at sea."	"{Expert Navigation}

Expert Navigation increases your hero's movement points at sea by 150%."
{Voðstva}	"{Basic Leadership}

Basic Leadership increases your hero's troops' morale by 1."	"{Advanced Leadership}

Advanced Leadership increases your hero's troops' morale by 2."	"{Expert Leadership}

Expert Leadership increases your hero's troops' morale by 3."
{Mudrosti}	"{Basic Wisdom}

Basic Wisdom allows your hero to learn third level spells."	"{Advanced Wisdom}

Advanced Wisdom allows your hero to learn fourth level spells."	"{Expert Wisdom}

Expert Wisdom allows your hero to learn fifth level spells."
{Misticizma}	"{Basic Mysticism}

Basic Mysticism allows your hero to regenerate 2 spell points per day."	"{Advanced Mysticism}

Advanced Mysticism allows your hero to regenerate 3 spell points per day."	"{Expert Mysticism}

Expert Mysticism allows your hero to regenerate 4 spell points per day."
{Sreæe}	"{Basic Luck}

Basic Luck increases your hero's luck by 1."	"{Advanced Luck}

Advanced Luck increases your hero's luck by 2."	"{Expert Luck}

Expert Luck increases your hero's luck by 3."
{Balistike}	"{Basic Ballistics}

Basic Ballistics gives control of the catapult to the hero, allowing aimed shots with increased damage."	"{Advanced Ballistics}

Advanced Ballistics gives control of the catapult to the hero, allowing two aimed shots with increased damage."	"{Expert Ballistics}

Expert Ballistics gives control of the catapult to the hero, allowing two aimed shots at maximum damage."
{Oka sokolovog}	"{Basic Eagle Eye}

Basic Eagle Eye gives your hero a 40% chance to learn any 1st or 2nd level spell used in combat."	"{Advanced Eagle Eye}

Advanced Eagle Eye gives your hero a 50% chance to learn any spell up to 3rd level used in combat."	"{Expert Eagle Eye}

Expert Eagle Eye gives your hero a 60% chance to learn any spell up to 4th level used in combat."
{Nekromantije}	"{Basic Necromancy}

Basic Necromancy allows 10% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Advanced Necromancy}

Advanced Necromancy allows 20% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Expert Necromancy}

Expert Necromancy allows 30% of the creatures killed in combat to be brought back from the dead as Skeletons."
{Ekonomije}	"{Basic Estates}

With Estates, a hero contributes 125 gold per day to your cause."	"{Advanced Estates}

With Estates, a hero contributes 250 gold per day to your cause."	"{Expert Estates}

With Estates, a hero contributes 500 gold per day to your cause."
{Vatrene magije}	"{Basic Fire Magic}

Basic Fire Magic allows your hero to cast Fire spells at reduced cost."	"{Advanced Fire Magic}

Advanced Fire Magic allows your hero to cast Fire spells at reduced cost and increased effectiveness."	"{Expert Fire Magic}

Expert Fire Magic allows your hero to cast Fire spells at reduced cost and maximum effectiveness."
